Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1268,The Church in the Darkness,XOne,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
1269,The Church in the Darkness,NS,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
1270,The Dark Pictures Anthology: House of Ashes,PS5,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
1271,The Dark Pictures Anthology: House of Ashes,XOne,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
1272,The Dark Pictures Anthology: House of Ashes,XS,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
1273,The Dark Pictures Anthology: House of Ashes,PC,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
1274,The Dark Pictures Anthology: House of Ashes,PS4,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
1275,The Falconeer,XOne,N/A,Action-Adventure,Unknown  ,Tomas Sala  ,,,,,,,
1276,The Falconeer,XS,N/A,Action-Adventure,Unknown  ,Tomas Sala  ,,,,,,,
1277,The Fall Part 2: Unbound,XOne,N/A,Action-Adventure,Unknown  ,Over the Moon  ,,,,,,,
1278,The Fall Part 2: Unbound,PS4,N/A,Action-Adventure,Unknown  ,Over the Moon  ,,,,,,,
1279,The Fall Part 2: Unbound,Linux,N/A,Action-Adventure,Unknown  ,Over the Moon  ,,,,,,,
1280,The Fall Part 2: Unbound,PC,N/A,Action-Adventure,Unknown  ,Over the Moon  ,,,,,,,
1281,The Fall Part 2: Unbound,NS,2018,Action-Adventure,Over The Moon  ,Over the Moon  ,,,,,,,
1282,The Final Station,PS4,N/A,Action-Adventure,Unknown  ,TinyBuild Games  ,,,,,,,
1283,The Flame in the Flood,PC,2016,Action-Adventure,Curve Digital  ,The Molasses Flood  ,,,,,,,
1284,The Flame in the Flood,PS4,N/A,Action-Adventure,Unknown  ,The Molasses Flood  ,,,,,,,
1285,The Flame in the Flood,XOne,N/A,Action-Adventure,Unknown  ,The Molasses Flood  ,,,,,,,
1286,The friends of Ringo Ishikawa,PC,2018,Action-Adventure,yeo  ,yeo  ,,,,,,,
1287,The friends of Ringo Ishikawa,NS,2019,Action-Adventure,CIRCLE Entertainment  ,yeo  ,,,,,,,
1288,The Godfather,All,2006,Action-Adventure,Electronic Arts  ,EA Redwood Shores  ,,,,,,,
