Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
656,Elite Forces: Unit 77,DS,2009,Strategy,Deep Silver  ,Gammick Entertainment  ,,,0.06,,,0.0,0.06
657,Aven Colony,XOne,2017,Strategy,Sold Out  ,Mothership Entertainment  ,,,0.06,,,0.01,0.06
658,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios  ,Big Huge Games  ,,,0.0,0.05,,0.01,0.06
659,Cities XL 2012,PC,2011,Strategy,Focus Home Interactive  ,Monte Cristo Multimedia  ,6.0,,0.01,0.05,,0.01,0.06
660,Panzer Tactics DS,DS,2007,Strategy,Conspiracy Entertainment  ,Sproing  ,,,0.06,,,0.0,0.06
661,Roadwar,Series,1986,Strategy,Strategic Simulations  ,Strategic Simulations  ,,,,,,,
662,Hogs of War / Worms,PS,2002,Strategy,Infogrames  ,Infogrames Sheffield / Team17 Software  ,,,0.03,0.02,,0.0,0.06
663,Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios  ,Microsoft Game Studios  ,7.0,,0.01,0.04,,0.01,0.06
664,Shining Force Feather,DS,2009,Strategy,Sega  ,Flight-Plan  ,,,,,0.06,,0.06
665,Star Trek: Tactical Assault,DS,2006,Strategy,Bethesda Softworks  ,"Quicksilver Software, Inc.  ",,,0.05,0.01,,0.0,0.06
666,Panzer General,PS,1996,Strategy,SSI  ,"Strategic Simulations, Inc.  ",,,0.14,0.09,,0.02,0.24
667,Nobunaga no Yabou: Souzou,PS4,2014,Strategy,Tecmo Koei  ,Koei Tecmo Games  ,,,,,0.06,,0.06
668,Imagine: Resort Owner,DS,2010,Strategy,Ubisoft  ,Ubisoft  ,,,0.05,0.0,,0.0,0.06
669,Worms 3D,XB,2005,Strategy,Sega  ,Team17 Software  ,,,0.04,0.01,,0.0,0.06
670,Emblem of Gundam,DS,2008,Strategy,Namco Bandai  ,Bandai Namco Games  ,,,,,0.06,,0.06
671,Cardfight!! Vanguard G: Stride to Victory!!,3DS,2016,Strategy,FuRyu Corporation  ,FuRyu  ,,,,,0.06,,0.06
